"","lea_street","City","lea_state","lea_zip"
"713","2802 East Meadowbrook Avenue","Phoenix","AZ","85016"
"714","5901 South Calle Santa Cruz","Tucson","AZ","85709"
"715","1275 East Barney Lane","Benson","AZ","85602"
"716","7318 West Lynwood Street","Phoenix","AZ","85035"
"717","812 South 6th Avenue","Phoenix","AZ","85003"
"718","4650 West Sweetwater Avenue","Glendale","AZ","85304"
"719","29126 San Jose Avenue","Wellton","AZ","85356"
"720","71001 Santa Fe Avenue","Wenden","AZ","85357"
"721","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"722","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"723","5625 S 51ST AVE","LAVEEN","AZ","85339"
"724","Glendale, AZ Glendale is a city in Maricopa county, Arizona","Glendale","AZ",NA
"725","Kingman, AZ Kingman is a city in Mohave county, Arizona","Kingman","AZ",NA
"726","6515 West Indian School Road","Phoenix","AZ","85033"
"727","963 South Chief Avenue","Whiteriver","AZ","85941"
"728","101 Coconino Street","Wickenburg","AZ","85390"
"729","Box 309","Chambers","AZ","86502"
"730","480 North Bisbee Avenue","Willcox","AZ","85643"
"731","636 South 7th Street","Williams","AZ","86046"
"732","3025 East Fillmore Street","Phoenix","AZ","85008"
"733","Route 12","Fort Defiance","AZ","86504"
"734","800 North Apache Avenue","Winslow","AZ","86047"
"735","18912 Hays Ranch Road","Peeples Valley","AZ","86332"
"736","2972 Centerpointe East Drive","Prescott","AZ","86301"
"737","Hwy 288/Baker Ranch Rd","Young","AZ","85554"
"738","1501 Valencia Road","Bullhead City","AZ","86426"
"739","12261 South 3rd Street","Yucca","AZ","86438"
"740","450 South 4th Avenue","Yuma","AZ","85364"
"741","3834 West 16th Street","Yuma","AZ","85364"
"742","3150 South Avenue A","Yuma","AZ","85364"
