"","lea_street, City, lea_state, lea_zip","No_Match"
"724","Glendale, AZ Glendale is a city in Maricopa county, Arizona, Glendale, AZ, NA","No_Match"
"604","38128 Saguaro Street, Salome, AZ, 85348","Match","Non_Exact","38128 SAGURO ST, SALOME, AZ, 85348","-113.61914,33.782215","129619900","L"
"725","Kingman, AZ Kingman is a city in Mohave county, Arizona, Kingman, AZ, NA","No_Match"
"605","10005 East Osborn Road, Scottsdale, AZ, 85256","Match","Exact","10005 E OSBORN RD, SCOTTSDALE, AZ, 85256","-111.86428,33.48775","128922590","R"
"726","6515 West Indian School Road, Phoenix, AZ, 85033","Match","Exact","6515 W INDIAN SCHOOL RD, PHOENIX, AZ, 85033","-112.19996,33.49487","128194748","L"
"606","Scottsdale, AZ Scottsdale is a city in Maricopa county, Arizona, Scottsdale, AZ, NA","No_Match"
"727","963 South Chief Avenue, Whiteriver, AZ, 85941","No_Match"
"607","San Carlos Avenue, San Carlos, AZ, 85550","No_Match"
"728","101 Coconino Street, Wickenburg, AZ, 85390","Match","Exact","101 COCONINO ST, WICKENBURG, AZ, 85390","-112.72903,33.968227","128132940","R"
"608","1 Schoolhouse Dr, Sasabe, AZ, 85633","No_Match"
"729","Box 309, Chambers, AZ, 86502","No_Match"
"609","HC 01 Box 8292, Sells, AZ, 85634","No_Match"
"730","480 North Bisbee Avenue, Willcox, AZ, 85643","Match","Exact","480 N BISBEE AVE, WILLCOX, AZ, 85643","-109.84137,32.261192","121004152","R"
"610","Interstate 10 Business Loop, San Simon, AZ, 85632","No_Match"
"731","636 South 7th Street, Williams, AZ, 86046","Match","Exact","636 S 7TH ST, WILLIAMS, AZ, 86046","-112.192245,35.24517","188901506","L"
"611","3959 East Elliot Road, Gilbert, AZ, 85296","No_Match"
"732","3025 East Fillmore Street, Phoenix, AZ, 85008","Match","Exact","3025 E FILLMORE ST, PHOENIX, AZ, 85008","-112.01687,33.454956","128223382","R"
"612","I-40 Hwy 191, Sanders, AZ, 86512","No_Match"
"733","Route 12, Fort Defiance, AZ, 86504","No_Match"
"613","1260 North Hohokam Drive, Nogales, AZ, 85621","Match","Exact","1260 N HOHOKAM DR, NOGALES, AZ, 85621","-110.92849,31.355425","638536471","R"
"734","800 North Apache Avenue, Winslow, AZ, 86047","Match","Exact","800 N APACHE AVE, WINSLOW, AZ, 86047","-110.69287,35.02784","639602793","R"
"614","7 Duquesne Road, Nogales, AZ, 85621","Match","Exact","7 DUQUESNE RD, NOGALES, AZ, 85621","-110.872185,31.388449","120893982","L"
"735","18912 Hays Ranch Road, Peeples Valley, AZ, 86332","No_Match"
"615","18 Calle Baca, Tubac, AZ, 85646","No_Match"
"736","2972 Centerpointe East Drive, Prescott, AZ, 86301","Match","Exact","2972 CENTERPOINTE EAST DR, PRESCOTT, AZ, 86301","-112.410545,34.62881","648161849","R"
"616","1374 West Frontage Road, Rio Rico, AZ, 85648","Match","Exact","1374 W FRONTAGE RD, RIO RICO, AZ, 85648","-111.01193,31.502821","120891683","L"
"737","Hwy 288/Baker Ranch Rd, Young, AZ, 85554","No_Match"
"617","900 North Main Street, Eloy, AZ, 85131","Match","Exact","900 N MAIN ST, ELOY, AZ, 85131","-111.55493,32.758583","647385211","L"
"738","1501 Valencia Road, Bullhead City, AZ, 86426","Match","Non_Exact","1501 E VALENCIA RD, BULLHEAD CITY, AZ, 86426","-114.59786,35.033314","618651929","R"
"618","HC 01 Box 8400, Sells, AZ, 85634","No_Match"
"739","12261 South 3rd Street, Yucca, AZ, 86438","Match","Non_Exact","12261 3RD ST, YUCCA, AZ, 86438","-114.15051,34.872616","618630012","L"
"619","HC O2 Box 7570, Sells, AZ, 85634","No_Match"
"740","450 South 4th Avenue, Yuma, AZ, 85364","Match","Exact","450 S 4TH AVE, YUMA, AZ, 85364","-114.62459,32.718784","129625047","R"
"620","3727 North 1st Avenue, Tucson, AZ, 85719","Match","Exact","3727 N 1ST AVE, TUCSON, AZ, 85719","-110.96105,32.274437","612997368","L"
"741","3834 West 16th Street, Yuma, AZ, 85364","Match","Exact","3834 W 16TH ST, YUMA, AZ, 85364","-114.66551,32.69842","129670860","R"
"500","310 West Plum Street, Nogales, AZ, 85621","Match","Exact","310 W PLUM ST, NOGALES, AZ, 85621","-110.94227,31.34034","120861833","R"
"621","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona, Phoenix, AZ, NA","No_Match"
"742","3150 South Avenue A, Yuma, AZ, 85364","Match","Exact","3150 S AVE A, YUMA, AZ, 85364","-114.63307,32.671898","129668744","R"
"501","3102 N 56TH ST # 300, PHOENIX, AZ, 85018","Match","Non_Exact","3102 N 56TH ST, PHOENIX, AZ, 85018","-111.96089,33.48381","128222024","L"
"622","8055 East 22nd Street, Tucson, AZ, 85710","Match","Exact","8055 E 22ND ST, TUCSON, AZ, 85710","-110.821045,32.206432","121182937","L"
"502","10720 West Indian School Road, Phoenix, AZ, 85037","Match","Exact","10720 W INDIAN SCHOOL RD, PHOENIX, AZ, 85037","-112.291405,33.49371","128421489","L"
"623","10460 N 56TH ST, SCOTTSDALE, AZ, 85253","Match","Exact","10460 N 56TH ST, SCOTTSDALE, AZ, 85253","-111.96062,33.581123","642850930","L"
"503","Off Hwy 163 .6 Mi East of Kay, Kayenta, AZ, 86033","No_Match"
"624","3102 North 56th Street, Phoenix, AZ, 85018","Match","Exact","3102 N 56TH ST, PHOENIX, AZ, 85018","-111.96089,33.48381","128222024","L"
